name,status,vcpus,memory,cluster
192.168.2.107(迁移后的）,active,4,32768,192.168.6.20
192.168.2.116(IC卡）,active,4,4096,192.168.6.20
192.168.2.127,active,1,2048,192.168.6.20
192.168.2.181-java-jenkins-克隆-2023-07-28,offline,4,8192,192.168.6.20
192.168.2.187-银行版接口等-刘云兵用,active,2,16384,192.168.6.20
192.168.2.217(centos-7模板）,offline,4,8192,192.168.6.20
192.168.2.248-ic卡？,active,4,7584,192.168.6.20
192.168.2.249,active,2,1024,192.168.6.20
192.168.222-develop224,active,8,20480,192.168.6.20
192.168.6.141-产品部k8s,active,16,32768,192.168.6.20
192.168.6.21-明御日志审计FTP,active,2,4096,192.168.6.20
192.168.6.22-安全渗透-亢杰,active,2,8192,192.168.6.20
192.168.6.23-朱芸生压测用,active,16,16384,192.168.6.20
192.168.6.24-和乐关爱交易系统测试环境,active,2,16384,192.168.6.20
192.168.6.26-Confluence-运营部-克隆2023-07-26,offline,4,16384,192.168.6.20
192.168.6.41-docker1,active,4,16384,192.168.6.20
192.168.6.42-docker2,active,4,16384,192.168.6.20
192.168.6.43-docker3,active,4,16384,192.168.6.20
192.168.6.44-docker4,active,4,16384,192.168.6.20
192.168.6.46-Ubuntu,active,4,8192,192.168.6.20
192.168.6.55-jenkins-harbor-克隆2023-07-26,offline,4,16384,192.168.6.20
192.168.0.100-门禁后台,active,4,9000,192.168.6.50
192.168.0.3-named-dns 克隆_20230727,offline,4,8192,192.168.6.50
192.168.0.31-天珣安全软件-生产-克隆2023-07-26,offline,8,32768,192.168.6.50
192.168.2.103 mposp-kaifa1,active,1,4096,192.168.6.50
192.168.2.104 mposp-kaifa02,active,1,4096,192.168.6.50
192.168.2.107克隆 2023-11-28,offline,4,32768,192.168.6.50
192.168.2.114-mpsop_manage,offline,2,8192,192.168.6.50
192.168.2.118-dns-named 克隆_20230802,offline,4,8192,192.168.6.50
192.168.2.121(刘云兵用）,active,4,16384,192.168.6.50
192.168.2.137-ansible_master,offline,4,32768,192.168.6.50
192.168.2.138-docker_test,offline,8,16384,192.168.6.50
192.168.2.147-beihang_dazhou,offline,2,8192,192.168.6.50
192.168.2.153 k8s_master,offline,8,6144,192.168.6.50
192.168.2.154 k0s_node1,active,8,6144,192.168.6.50
192.168.2.155 k8s_node2,active,8,6144,192.168.6.50
192.168.2.182-java准生产代码仓库-克隆-2023-07-28,offline,4,8192,192.168.6.50
192.168.2.185,active,1,2048,192.168.6.50
192.168.2.206-php-jenkins-克隆2023-07-26,offline,8,8192,192.168.6.50
192.168.2.207-php准生产代码仓库-克隆2023-07-27,offline,8,8192,192.168.6.50
192.168.2.21-haproxy1,active,2,4096,192.168.6.50
192.168.2.61(替换192.168.2.105）,offline,4,16384,192.168.6.50
192.168.2.62(替换192.168.2.106）,offline,4,16384,192.168.6.50
192.168.2.99-zpeng-demo,active,4,8192,192.168.6.50
192.168.6.132产品部-新Jenkins,active,16,16384,192.168.6.50
192.168.6.142 产品部k8s-node,active,16,32768,192.168.6.50
192.168.6.27-Confluence-技术部-克隆2023-07-26,offline,4,16384,192.168.6.50
192.168.6.51-安卓IOS-APP加固系统-克隆2023-07-26,offline,8,16384,192.168.6.50
192.168.6.54-安全,active,4,8192,192.168.6.50
192.168.6.79(测试环境应用备份）,active,4,8192,192.168.6.50
192.168.6.81(农信链四川乡发),active,4,10240,192.168.6.50
192.168.6.85（乡发交易系统接口）,active,4,8192,192.168.6.50
192.168.6.88 (文档管理平台）,active,4,8192,192.168.6.50
lys_win7,offline,2,4096,192.168.6.50
192.168.2.115-ppcm2-kjing,offline,8,16384,192.168.6.60
192.168.2.98-zpeng-test,active,4,16384,192.168.6.60
192.168.6.131-朱芸生临时测试用-日期到2024-3月,active,4,16384,192.168.6.60
192.168.6.140-k8s-master,active,8,16384,192.168.6.60
192.168.6.77(xxl-job),active,2,4096,192.168.6.60
DBA数据库测试01-6.11,active,4,8192,192.168.6.60
DBA数据库测试02-6.12,active,4,8192,192.168.6.60
testdba,active,2,8192,192.168.6.60
黄春山测试用  192.168.6.78,active,4,8192,192.168.6.60
192.168.0.3-named-dns,active,4,8192,192.168.6.80
192.168.0.31-天珣安全软件-生产,active,8,32768,192.168.6.80
192.168.2.118-dns-named,active,4,8192,192.168.6.80
192.168.2.180-开发代码仓库,active,4,8192,192.168.6.80
192.168.2.181-java-jenkins,active,4,8192,192.168.6.80
192.168.2.182-java准生产代码仓库,active,4,8192,192.168.6.80
192.168.2.206-php-jenkins,active,8,8192,192.168.6.80
192.168.2.207-php准生产代码仓库,active,8,8192,192.168.6.80
192.168.6.149-产品部-JIRA-harbor,active,8,32768,192.168.6.80
192.168.6.26-Confluence-运营部,active,4,16384,192.168.6.80
192.168.6.27-Confluence-技术部,active,4,16384,192.168.6.80
192.168.6.51-安卓iOS-APP加固系统,active,8,16384,192.168.6.80
192.168.6.55-jenkins-harbor,active,4,16384,192.168.6.80
192.168.6.81 农信链四川乡发 克隆-20231128,offline,4,10240,192.168.6.80
192.168.6.88 文档管理平台-克隆_20231128,offline,4,8192,192.168.6.80
VMware vCenter Server_192.168.6.25,active,2,12288,192.168.6.80
